Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Sam Burns (10765279),Sam Burns,10765279,G,6400,U.S. Open,Golf,55.33
G,Lanto Griffin (10765280),Lanto Griffin,10765280,G,6400,U.S. Open,Golf,43.72
G,Mike Miller (10765281),Mike Miller,10765281,G,6400,U.S. Open,Golf,0
G,Tyler Strafaci (10765282),Tyler Strafaci,10765282,G,6300,U.S. Open,Golf,12
G,Wen-Chong Liang (10765283),Wen-Chong Liang,10765283,G,6300,U.S. Open,Golf,44.2
G,Luis Gagne (10765284),Luis Gagne,10765284,G,6300,U.S. Open,Golf,0
G,Will Grimmer (10765285),Will Grimmer,10765285,G,6300,U.S. Open,Golf,0
G,Sung Joon Park (10765286),Sung Joon Park,10765286,G,6300,U.S. Open,Golf,0
G,Sebastian Vazquez (10765287),Sebastian Vazquez,10765287,G,6300,U.S. Open,Golf,0
G,Cameron Wilson (10765288),Cameron Wilson,10765288,G,6300,U.S. Open,Golf,0
G,Tim Wilkinson (10765289),Tim Wilkinson,10765289,G,6300,U.S. Open,Golf,67
G,Matt Parziale (10765290),Matt Parziale,10765290,G,6300,U.S. Open,Golf,14
G,Rikuya Hoshino (10788165),Rikuya Hoshino,10788165,G,6300,U.S. Open,Golf,0
G,David Gazzolo (10765291),David Gazzolo,10765291,G,6200,U.S. Open,Golf,0
G,Jason Scrivener (10765292),Jason Scrivener,10765292,G,6200,U.S. Open,Golf,55
G,Michael Block (10765293),Michael Block,10765293,G,6200,U.S. Open,Golf,31.5
G,Chun An Yu (10765294),Chun An Yu,10765294,G,6200,U.S. Open,Golf,0
G,Paul Waring (10765295),Paul Waring,10765295,G,6200,U.S. Open,Golf,59.5
G,Sulman Raza (10765296),Sulman Raza,10765296,G,6200,U.S. Open,Golf,0
G,Shintaro Ban (10765297),Shintaro Ban,10765297,G,6200,U.S. Open,Golf,0
G,Eric Axley (10765298),Eric Axley,10765298,G,6200,U.S. Open,Golf,55
G,Ryan Evans (10788163),Ryan Evans,10788163,G,6200,U.S. Open,Golf,61.77
G,Chris Babcock (10765299),Chris Babcock,10765299,G,6100,U.S. Open,Golf,0
G,Timothy Wiseman (10765300),Timothy Wiseman,10765300,G,6100,U.S. Open,Golf,0
G,Ryan Lumsden (10765301),Ryan Lumsden,10765301,G,6100,U.S. Open,Golf,0
G,Calum Hill (10765302),Calum Hill,10765302,G,6100,U.S. Open,Golf,0
G,Philip Barbaree (10765303),Philip Barbaree,10765303,G,6100,U.S. Open,Golf,0
G,Sungjae Im (10765304),Sungjae Im,10765304,G,6100,U.S. Open,Golf,0
G,Cole Miller (10765305),Cole Miller,10765305,G,6100,U.S. Open,Golf,0
G,Franklin Huang (10765306),Franklin Huang,10765306,G,6100,U.S. Open,Golf,0
G,Will Zalatoris (10765307),Will Zalatoris,10765307,G,6100,U.S. Open,Golf,38.38
G,Chris Naegel (10765308),Chris Naegel,10765308,G,6000,U.S. Open,Golf,0
G,Mickey DeMorat (10765309),Mickey DeMorat,10765309,G,6000,U.S. Open,Golf,0
G,Tom Lewis (10765310),Tom Lewis,10765310,G,6000,U.S. Open,Golf,41.21
G,Dean Burmester (10765311),Dean Burmester,10765311,G,6000,U.S. Open,Golf,67.15
G,Matthieu Pavon (10765312),Matthieu Pavon,10765312,G,6000,U.S. Open,Golf,61.06
G,Lucas Herbert (10765313),Lucas Herbert,10765313,G,6000,U.S. Open,Golf,61.88
G,David Bransdon (10765314),David Bransdon,10765314,G,6000,U.S. Open,Golf,100
G,Kristoffer Reitan (10765315),Kristoffer Reitan,10765315,G,6000,U.S. Open,Golf,22
G,Rhett Rasmussen (10765316),Rhett Rasmussen,10765316,G,6000,U.S. Open,Golf,0
